URSI;STATION NAME;LAT;LONG;EARLIEST DATA;LATEST DATA
DH224;AL DHAFRA AFB (U);24.24;54.58;Mar 06, 2022;Apr 03, 2023
AL945;ALPENA (U);45.07;276.44;Apr 11, 2014;Apr 03, 2023
AN438;ANYANG;37.39;126.95;May 01, 1998;Aug 05, 2009
AS00Q;ASCENSION ISLAND (U);-7.95;345.6;Mar 22, 1997;Apr 03, 2023
AT138;ATHENS (U);38;23.5;Jan 15, 2002;Apr 03, 2023
AU930;AUSTIN (U);30.4;262.3;Aug 23, 1999;Apr 03, 2023
BP440;BEIJING;40.3;116.2;Oct 07, 2010;Nov 07, 2021
BLJ03;BELEM;1.43;311.56;Nov 07, 2017;Nov 11, 2021
BVJ03;BOA VISTA;2.8;299.3;Oct 05, 2002;Oct 31, 2022
BC840;BOULDER (U);40;254.7;Aug 22, 1999;Apr 03, 2023
BV53Q;BUNDOORA;-37.7;145.05;Jan 15, 2002;Aug 28, 2008
CAJ2M;CACHOEIRA PAULISTA (U);-22.7;315;Jul 14, 2000;Apr 03, 2023
CGK21;CAMPO GRANDE;-20.5;305;Sep 17, 2002;Apr 09, 2018
RL052;CHILTON (U);51.5;359.4;Dec 16, 1996;Apr 03, 2023
CS31K;COCOS_ISLAND (U);-12.18;96.83;Mar 17, 2015;Apr 03, 2023
CO764;COLLEGE AK;64.9;212;Dec 31, 1999;May 19, 2010
DB049;DOURBES (U);50.1;4.6;Jan 01, 2001;Apr 03, 2023
DS932;DYESS AFB;32.4;260.2;Dec 31, 1999;Apr 23, 2009
EA653;EARECKSON (U);52.73;185.92;Aug 17, 2018;Apr 03, 2023
EG931;EGLIN AFB (U);30.5;273.5;Dec 31, 1999;Apr 03, 2023
EI764;EIELSON (U);64.66;212.93;Jan 01, 2006;Apr 03, 2023
TR170;EISCAT TROMSO (U);69.58;19.22;Apr 05, 2017;Apr 03, 2023
EA036;EL ARENOSILLO (U);37.1;353.3;Apr 17, 2000;Apr 03, 2023
MO156;ELEKTROUGLI;55.76;38.28;Mar 17, 2015;Mar 30, 2022
FF051;FAIRFORD (U);51.7;358.5;Mar 25, 2000;Apr 03, 2023
FZA0M;FORTALEZA (U);-3.9;321.6;Mar 22, 2001;Apr 02, 2023
GA313;GADANKI;13.46;79.17;Apr 16, 2015;Nov 07, 2021
